date,channelGrouping,medium,source,deviceCategory,sessions,users
2019-10-29,Organic Search,organic,yahoo,desktop,1,1
2019-09-22,Organic Search,organic,google,tablet,1,1
2019-09-26,Organic Search,organic,google,tablet,1,1
2019-09-28,Organic Search,organic,google,tablet,1,1
2019-10-01,Organic Search,organic,google,tablet,1,1
2019-10-04,Organic Search,organic,google,tablet,1,1
2019-10-05,Organic Search,organic,google,desktop,1,1
2019-10-06,Organic Search,organic,google,tablet,1,1
2019-10-08,Organic Search,organic,google,tablet,1,1
2019-10-10,Organic Search,organic,google,tablet,1,1
2019-10-11,Organic Search,organic,google,desktop,1,1
2019-10-11,Organic Search,organic,google,tablet,1,1
2019-10-13,Organic Search,organic,google,tablet,1,1
2019-10-16,Paid Search,cpc,google,tablet,1,1
2019-10-17,Organic Search,organic,google,tablet,1,1
2019-10-17,Paid Search,cpc,google,desktop,1,1
2019-10-18,Organic Search,organic,google,desktop,1,1
2019-10-18,Paid Search,cpc,google,desktop,1,1
2019-10-18,Paid Search,cpc,google,tablet,1,1
2019-10-19,Paid Search,cpc,google,tablet,1,1
2019-10-21,Organic Search,organic,google,tablet,1,1
2019-10-25,Organic Search,organic,google,tablet,1,1
2019-10-26,Paid Search,cpc,google,desktop,1,1
2019-10-27,Organic Search,organic,google,desktop,1,1
2019-10-28,Organic Search,organic,google,tablet,1,1
2019-10-28,Paid Search,cpc,google,desktop,1,1
2019-09-22,Direct,(none),(direct),tablet,1,1
2019-09-24,Direct,(none),(direct),tablet,1,1
2019-09-25,Direct,(none),(direct),desktop,1,1
2019-09-25,Direct,(none),(direct),tablet,1,1
2019-09-28,Direct,(none),(direct),tablet,1,1
2019-09-29,Direct,(none),(direct),tablet,1,1
2019-10-01,Direct,(none),(direct),desktop,1,1
2019-10-01,Direct,(none),(direct),tablet,1,1
2019-10-02,Direct,(none),(direct),tablet,1,1
2019-10-03,Direct,(none),(direct),tablet,1,1
2019-10-09,Direct,(none),(direct),tablet,1,1
2019-10-10,Direct,(none),(direct),desktop,1,1
2019-10-11,Direct,(none),(direct),tablet,1,1
2019-10-12,Direct,(none),(direct),desktop,1,1
2019-10-18,Direct,(none),(direct),desktop,1,1
2019-10-18,Direct,(none),(direct),tablet,1,1
2019-10-19,Direct,(none),(direct),tablet,1,1
2019-10-20,Direct,(none),(direct),desktop,1,1
2019-10-20,Direct,(none),(direct),tablet,1,1
2019-10-21,Direct,(none),(direct),tablet,1,1
2019-10-23,Direct,(none),(direct),tablet,1,1
2019-10-26,Direct,(none),(direct),desktop,1,1
2019-10-27,Direct,(none),(direct),desktop,1,1
2019-10-27,Direct,(none),(direct),tablet,1,1
2019-10-28,Direct,(none),(direct),tablet,1,1
2019-10-29,Direct,(none),(direct),desktop,1,1
2019-10-24,Paid Search,cpc,facebook,desktop,1,1
2019-10-25,Paid Search,cpc,facebook,desktop,1,1
2019-10-28,Paid Search,cpc,facebook,desktop,1,1
2019-10-29,Paid Search,cpc,facebook,desktop,1,1
2019-10-18,Paid Search,cpc,pinterest,tablet,1,1
2019-10-17,Referral,referral,tineye.com,desktop,1,1
2019-10-21,Referral,referral,zankyou.es,mobile,1,1
2019-10-18,Referral,referral,cibelina.com,mobile,1,1
2019-09-21,Social,referral,facebook.com,desktop,1,1
2019-09-27,Social,referral,facebook.com,desktop,1,1
2019-10-01,Social,referral,facebook.com,desktop,1,1
2019-10-02,Social,referral,facebook.com,mobile,1,1
2019-10-03,Social,referral,facebook.com,desktop,1,1
2019-10-03,Social,referral,facebook.com,mobile,1,1
2019-10-05,Social,referral,facebook.com,desktop,1,1
2019-10-06,Social,referral,facebook.com,desktop,1,1
2019-10-08,Social,referral,facebook.com,desktop,1,1
2019-10-08,Social,referral,facebook.com,mobile,1,1
2019-10-10,Social,referral,facebook.com,desktop,1,1
2019-10-12,Social,referral,facebook.com,desktop,1,1
2019-10-14,Social,referral,facebook.com,desktop,1,1
2019-10-15,Social,referral,facebook.com,desktop,1,1
2019-10-17,Social,referral,facebook.com,tablet,1,1
2019-10-19,Social,referral,facebook.com,desktop,1,1
2019-10-20,Social,referral,facebook.com,mobile,1,1
2019-10-21,Social,referral,facebook.com,mobile,1,1
2019-10-22,Social,referral,facebook.com,desktop,1,1
2019-10-22,Social,referral,facebook.com,mobile,1,1
2019-10-23,Social,referral,facebook.com,mobile,1,1
2019-10-24,Social,referral,facebook.com,desktop,1,1
2019-10-26,Social,referral,facebook.com,desktop,1,1
2019-10-27,Social,referral,facebook.com,desktop,1,1
2019-10-28,Social,referral,facebook.com,mobile,1,1
2019-10-03,Social,referral,pinterest.ca,desktop,1,1
2019-10-05,Social,referral,pinterest.es,mobile,1,1
2019-10-07,Social,referral,pinterest.es,desktop,1,1
2019-10-08,Social,referral,pinterest.es,desktop,1,1
2019-10-08,Social,referral,pinterest.es,mobile,1,1
2019-10-11,Social,referral,pinterest.es,desktop,1,1
2019-10-17,Social,referral,pinterest.es,desktop,1,1
2019-10-22,Social,referral,pinterest.es,desktop,1,1
2019-10-25,Social,referral,pinterest.es,mobile,1,1
2019-10-28,Social,referral,pinterest.es,mobile,1,1
