Date,Symbol,Open,High,Low,Close,Volume_BTC,Volume_USD
2019-02-21,BTCUSD,3941.16,3987.0,3870.0,3901.59,2537.68,9925700.24
2019-01-05,BTCUSD,3821.47,3859.5,3780.0,3797.41,1675.11,6408581.55
2019-09-04,BTCUSD,10625.2,10830.0,10380.42,10584.13,1470.32,15567690.42
2016-10-03,BTCUSD,610.5,613.0,610.4,612.91,2500.09,1531896.86
2017-04-12,BTCUSD,1223.76,1226.5,1210.69,1218.12,5563.56,6777571.33
2018-07-05,BTCUSD,6583.72,6700.0,6446.68,6529.47,5533.27,36422647.86
2018-07-29,BTCUSD,8234.98,8280.0,8120.34,8216.06,492.38,4043646.83
2016-11-25,BTCUSD,737.99,741.75,730.25,741.28,1688.61,1242725.97
2017-10-01,BTCUSD,4327.63,4399.0,4250.0,4388.74,2672.27,11527231.02
2017-12-03,BTCUSD,10888.01,11870.0,10500.17,11231.21,9362.28,105713191.7
2015-10-12,BTCUSD,249.5,249.5,247.6,247.6,38.28,9493.89
2015-10-11,BTCUSD,246.3,249.5,246.3,249.5,12.22,3021.12
2016-03-17,BTCUSD,416.0,419.0,416.0,418.95,938.0,392406.2
2016-04-19,BTCUSD,427.99,435.0,427.98,435.0,1419.48,609416.58
2016-04-21,BTCUSD,443.54,451.0,441.86,451.0,2331.07,1038975.71
2015-11-14,BTCUSD,338.45,2200.0,332.92,349.99,616.59,254383.14
2017-07-03,BTCUSD,2507.84,2584.0,2477.13,2540.94,6289.94,15926572.65
2017-08-28,BTCUSD,4340.88,4400.0,4202.48,4379.96,8832.05,38084155.2
2018-11-06,BTCUSD,6403.38,6449.0,6384.75,6448.41,3803.09,24360874.97
2018-07-26,BTCUSD,8160.0,8290.0,7843.05,7926.36,3460.55,28220038.28
2018-02-27,BTCUSD,10300.0,10850.0,10117.0,10562.46,5538.64,58574042.36
2018-10-26,BTCUSD,6389.7,6450.0,6375.0,6401.09,3051.51,19516832.01
2016-01-18,BTCUSD,383.9,387.25,374.83,385.03,2854.76,1099063.99
2017-09-09,BTCUSD,4346.24,4405.0,4182.16,4325.17,5908.35,25492488.55
2017-06-01,BTCUSD,2303.62,2459.0,2300.0,2412.34,11493.71,27291433.44
2017-11-16,BTCUSD,7286.93,7990.0,7131.5,7852.44,7868.0,59742305.56
2017-03-01,BTCUSD,1195.2,1230.0,1190.62,1228.9,3481.12,4243681.33
2019-07-08,BTCUSD,11475.07,12400.0,11332.52,12307.13,2406.04,28739475.55
2017-11-17,BTCUSD,7852.44,7993.0,7550.0,7677.17,6185.57,48368250.17
2016-07-06,BTCUSD,666.23,679.5,665.7,674.99,871.12,586279.59
2018-12-12,BTCUSD,3347.11,3486.0,3325.11,3431.89,5014.93,17088299.34
2017-09-01,BTCUSD,4736.28,4924.0,4709.28,4924.0,8173.61,39489710.93
2018-08-04,BTCUSD,7413.7,7485.0,6930.37,7014.55,1463.33,10421504.07
2018-01-11,BTCUSD,14929.39,14970.0,12810.0,13301.77,10854.39,147562255.6
2016-06-08,BTCUSD,580.0,583.75,574.87,581.99,1506.32,873277.55
2017-06-12,BTCUSD,2960.0,2975.0,2470.0,2656.3,19056.61,50503982.61
2017-12-05,BTCUSD,11668.84,11900.0,11489.92,11711.2,7153.47,83791780.96
2016-04-03,BTCUSD,420.0,420.0,418.93,419.45,106.09,44510.42
2016-05-03,BTCUSD,446.36,452.0,443.69,451.99,1124.91,504046.31
2016-04-23,BTCUSD,447.79,452.0,447.23,452.0,962.76,433217.1
2015-11-04,BTCUSD,400.0,500.0,365.0,410.0,2104.01,957774.87
2016-10-01,BTCUSD,607.2,616.0,607.2,614.04,1114.44,684672.23
2016-06-24,BTCUSD,628.11,680.0,625.13,662.66,2033.06,1324010.48
2017-03-26,BTCUSD,966.76,1000.0,948.33,967.14,3442.31,3366712.79
2018-08-11,BTCUSD,6109.19,6208.0,6013.61,6091.87,1536.17,9395605.1
2019-03-23,BTCUSD,3986.67,4000.5,3961.01,3982.45,809.89,3227449.04
2018-06-07,BTCUSD,7657.92,7745.0,7635.89,7691.26,1573.01,12099431.83
